CODAUTO	CPRO	CMUN	DC	NOMBRE 
02	44	001	2	Ababuj
07	40	001	9	Abades
11	10	001	5	Abadía
12	27	001	8	Abadín
16	48	001	0	Abadiño
15	31	001	8	Abáigar
07	09	001	1	Abajas
17	26	001	2	Ábalos
16	20	001	3	Abaltzisketa
08	19	001	9	Abánades
14	30	001	1	Abanilla
16	48	002	5	Abanto y Ciérvana-Abanto Zierbena
02	50	001	6	Abanto
14	30	002	6	Abarán
07	34	001	4	Abarca de Campos
15	31	002	3	Abárzuza/Abartzuza
15	31	003	9	Abaurregaina/Abaurrea Alta
15	31	004	4	Abaurrepea/Abaurrea Baja
12	15	001	1	Abegondo
07	42	001	1	Abejar
02	44	002	7	Abejuela
09	25	001	9	Abella de la Conca
08	02	001	9	Abengibre
08	13	001	3	Abenójar
15	31	005	7	Aberin
11	10	002	0	Abertura
07	49	002	8	Abezames
08	16	001	4	Abia de la Obispalía
07	34	003	5	Abia de las Torres
02	22	001	5	Abiego
02	22	002	0	Abizanda
01	04	001	0	Abla
08	19	002	4	Ablanque
15	31	006	0	Ablitas
09	08	001	8	Abrera
01	04	002	5	Abrucena
07	37	001	6	Abusejo
13	28	001	4	Acebeda, La
07	24	001	6	Acebedo
11	10	003	6	Acebo
08	16	002	9	Acebrón, El
11	06	001	6	Acedera
11	10	004	1	Acehúche
11	10	005	4	Aceituna
02	50	002	1	Acered
11	06	002	1	Aceuchal
02	22	003	6	Adahuesca
07	47	001	4	Adalia
01	14	001	8	Adamuz
07	05	001	3	Adanero
05	38	001	2	Adeje
10	46	001	8	Ademuz
15	31	007	6	Adiós
08	19	003	0	Adobes
10	46	002	3	Ador
01	04	003	1	Adra
07	09	003	2	Adrada de Haza
07	40	002	4	Adrada de Pirón
07	05	002	8	Adrada, La
07	42	003	2	Adradas
07	40	003	0	Adrados
16	20	002	8	Aduna
05	35	001	7	Agaete
07	37	002	1	Agallas
09	25	002	4	Àger
12	36	020	9	Agolada
02	50	003	7	Agón
